,Reviews
0,"Tempatnya strategis, pengajarnya juga berkualitas. Ada permainan juga buat si kecil jd ga perlu takut karena si kecil ga akan bosan. Program kurikulumnya jg sangat membantu anak biar cepat paham. Sukses terus lah buat cakap"
1,"Selain pengajarnya yg ramah, tempatnya jg nyaman buat anak2.. anak saya senang blajar dsni "
2,Tempat belajar terfavorit dan pastinya nyaman banget anak2 sangat suka belajar disini ditambah lagi pengajar nya yg sangat sabar dan profesional 
3,Tempat terbaik buat anak2 belajar bahasa inggris Fasilitas lengkap. Banyak aktivitasnya juga. Guru nya baik dan ramah Anak ku suka belajar disini
4,"Tempatnya bagus, Nyaman buat anak-anak belajar, Teacher nya baik dan ramah, Rekomendasi banget pokoknya, Sukses buat cakap kids academy"
5,"Tempat nyaman banget, terus guru yang mengajar nya profesional, mantabbb lah cakap kids academy"
6,Asyik banget belajar di cakap kids academy tempatnya nyaman bersih menyenangkan sekali 
7,Anak saya sangat senang belajar disini karna tempatnya nyaman dan pengajar nya juga baik
8,Tempat nyaman banget bersih.. pengajarnya sangat profesional
9,"Tempat les terbaik buat anak. Guruny ramah2, lokasi jg enak ga macet2an"
10,Seneng banget belajar disini tempatnya bersih nyaman banget dapet guru yg sabar
11,Pengajar cakap sangat sabar dan ramah membuat anak2 cepat memahami pelajaran
12,Menyenangkan sekali les di cakap tempat nya sangat nyaman dan bersih
13,Akhirnya ada cakap Tempat les yang nyaman dan sangat dekat dr rumah sya
14,seneng banget belajar dsni tempat nya nyaman dan guru nya sangat sabar dalam belajar
15,"Tempat nya nyaman, bersih dan enak.. Pengajar nya jg sabar dan ramah"
16,Sangat seneng belajar disini tempatnya nyaman dan gurunya ramah
17,"Lokasi strategis cocok bgt buat anak belajar, teachernya ramah"
18,seneng banget belajar disini tempatnya enak nyaman gurunya juga ramah ramah
19,Tempat les yg sangat nyaman dan aman buat anak
20,seneng banget belajar disini tempat nya nyaman rapih dan bersih
21,Anakku sangat senang les dicakap karna gurunya sangat ramah
22,akhirnya menemukan tempat les yang bener2 nyaman
23,Ada banyak course menarik yang bikin si kecil makin hebat
24,Tempat nya bagus bersih?? gurunya sangat profesional
25,Gurunya cantik profesional banget baik dalam mengajar
26,"Pelayanan ramah, tempat parkir banyak. Dan harga cukup terjangkau."
27,Guru nya ramah ramah Profesional Banget
28,Tempat belajar yg sangat nyaman
29,Guru nya sangat profesional sekali
30,Gurunya baik ramah sangat profesional
31,Pengajar nya hebat dan tempatnya sangat nyaman
32,pengajar nya hebat sangat sabar dan profesional
33,Cakap top..  Pengajarnya sangat profesional
34,nyaman sekali tempat les ini
35,"Tempat nya nyaman dan bersih,gurunya profesional"
36,Dapet guru yg sangat profesional
37,Tempat belajar yang sangat nyaman
38,Gurunya sangat ramah dan profesional
39,Pengajar nya sabar dan sangat profesional
40,Tempat les yang sangat nyaman
41,tempat belajar yg sangat nyaman
42,guru nya profesional
43,Tempat nyaman
44,Senang sekali rasanya mempunyai guru yang sangat sabar seperti yang dikatakan
