Reviews,Date
"aplikasinya ruangguru bagus, sangat interaktif, banyak sekali perkembangannnya, apalagi fitur fiturnya, saya suka sekali sama fitur ""konsep kilat"", dimana fitur ini ngebantu saya jika disuruh membuat catatan, dikarenakan isi materi di konsep kilat sudah di ringkas supaya mudah dipahami oleh pelajar, terimakasih ruangguru !",9 Maret 2024
"So far dari materi sama penjelasan udah lengkap banget. Tapi ada satu hal yang bikin gemes, pas mau nonton video materi mesti ga bisa, ngeload terus akhir akhir ini. Udah diupdate tp ttp aja ga bisa. Padahal koneksi lancar bgt buat sosmed dll bisa, tapi cuman di rg yang lemot bgt. Plis tolong, udah langganan buat 2 tahun kedepan, jadi sia sia mbayarnya huhu dan ganggu banget pas mau belajar jadi ngurungin niat keburu males duluan :(",13 Maret 2024
"detail banget belajarnya, mudah di tangkep ke otak, jujur ya aku baru 2 hari belajar MTK sama tentang perekonomian langsung paham pembelajarannya. terus di selipin juga soal pemantik biar kita beneran ga ni menangkap materi nya(menurutku). dan bagus nya juga ruangguru tuh dia apk nya nyaman di gunain, ga ribet juga. keren deh, btw SUKSES TERUS RUANGGURU!!!",8 Maret 2024
"aplikasinya ruangguru bagus, sangat interaktif, banyak sekali perkembangannnya, apalagi fitur fiturnya, saya suka sekali sama fitur ""konsep kilat"", dimana fitur ini ngebantu saya jika disuruh membuat catatan, dikarenakan isi materi di konsep kilat sudah di ringkas supaya mudah dipahami oleh pelajar, terimakasih ruangguru !",9 Maret 2024
"So far dari materi sama penjelasan udah lengkap banget. Tapi ada satu hal yang bikin gemes, pas mau nonton video materi mesti ga bisa, ngeload terus akhir akhir ini. Udah diupdate tp ttp aja ga bisa. Padahal koneksi lancar bgt buat sosmed dll bisa, tapi cuman di rg yang lemot bgt. Plis tolong, udah langganan buat 2 tahun kedepan, jadi sia sia mbayarnya huhu dan ganggu banget pas mau belajar jadi ngurungin niat keburu males duluan :(",13 Maret 2024
"detail banget belajarnya, mudah di tangkep ke otak, jujur ya aku baru 2 hari belajar MTK sama tentang perekonomian langsung paham pembelajarannya. terus di selipin juga soal pemantik biar kita beneran ga ni menangkap materi nya(menurutku). dan bagus nya juga ruangguru tuh dia apk nya nyaman di gunain, ga ribet juga. keren deh, btw SUKSES TERUS RUANGGURU!!!",8 Maret 2024
"Suka banget sama video pembelajaran yang menarik, master teacher nya juga seru2 dan ga pernah ngebosenin, nyesek baru nyoba sekarang!, dan aku jadi rajin belajar karna ga mau nyia-nyiain kesempatan langganan aku, saran sama masukannya, tolong tambahin pelajaran kewirausahaan dong kak! Dan aku pengen di ruang guru di tambahin fitur flash card kak! Biar belajar tambah seru, karna metode belajar flash card efektif banget loh",9 Maret 2024
"Sering ngebug pada menu pembelajaran terdapat tulisan ""sedang terjadi kesalahan sistem"" Dan itu sering sekali bukan karena signal atau kecepatan internet karena sudah di pastikan internet saya kencang, sering terjadi bug seperti ini membuat saya jadi tidak mood, tolong di perbaiki sistem atau servernya",25 Maret 2024
"Haloo Semenjak aku belajar dan berlangganan diruangguru ini aku semakin dengan mudah cepat memahami materi yang disampaikan. Aku suka fitur video yang sangat menarik dan juga penjelasan yang jelas, terperinci dan aku ga bosen buat nonton ulang video nya.",27 Februari 2024
"Untuk scrolling soal cerita yang panjang agak susah, isi vidionya bagus tapi simpulan vidionya nggak sesuai ama isi vidio (jarang si sebenarnya, tapi kalau gitu fatal karena yang dicatat kesimpulannya, kalau kesimpulannya salah, tapi isi vidionya benar. Rugi dong), dan bila soalnya memuat gambar agak susah muncul gambarnya",12 April 2024
"Waah aplikasi iniii sangat bagus!!! Dan penjelasannya juga Pahan dari vidionya. Cuman, dari vidionya itu harus bayar ada yang nggak. Kebanyakan yang vidio itu harus bayar. Tapi, dari aplikasinya ini paling bagus Bahkan ada guru les dari ruang guru.",8 Mei 2024
"Saya sangat suka sekali dengan aplikasi ini sangat membantu untuk mengerjakan tugas dan memahami dari video dari aplikasi ini, hebatt pertama kali cobaa langsung bestt apk luvv""",5 Mei 2024
"Entah kenapa semenjak tampilan drill soal diperbaharui, sistemnya sering nge-lag, soal gak muncul atau pilgan gak lengkap. Pembahasan jg gak bisa digeser ke kanan jadi gak bisa lihat",16 Maret 2024
"fitur drill nya nge bug, tolong diperbaiki, setiap saya menggunakan fitur drill, beberapa jawaban selalu tidak muncul, sehingga tidak bisa memilih jawaban yang benar, dan tampilannya sering bug",12 Maret 2024
"Trimakasih Ruangguru 👍, video penjelasan mudah dimengerti, tiap soal ada pembahasannya, mantap banget deh. Cuman kekurangannya gini, Waktu saya lagi ngerjain soal IPA, kan ada gambarnya tuh, misalnya tentang daun gitu, kurang lebih soalnya menanyakan ""bagian yg ditunjuk nomor 3 disebut?"". Tapi gambarnya gak bisa digeser-geser, sehingga ngebuat gak kelihatan bagian no 3nya. Itu memang begitu atau bisa digeser cuman HP saya aja yang bermasalah ya? Atau ada fiturnya?",20 Februari 2024
"Saat saya ingin scroll riwayat sesi, rasanya sangat sulit. Karena loading dan bug yang membuat saya tidak bisa scroll ke bawah. Saat saya sudah di bagian yang sudah ke load, malah naik lagi ke atas. Mohon segera di perbaiki",21 April 2024
Terimakasih ruang guru karena ada aplikasi ruangguru saya jadi bisa belajar semak simalmungkin dan tidak akan bosan karena banyak fitur fitur yang menyenangkan.sehingga saya semangat untuk belajar di ruang guru Terimakasih ruangguru😊😊😊🤗🤩🤩,15 April 2024
"sangat membantu dalam proses pembelajaran, pembahasan yang diberikan juga mudah dimengerti. ruang guru benar benar menjadi teman belajar saya semoga dengan adanya ruang guru ini saya dan teman teman sekalian bisa mencapai tujuan yang diinginkan yaa, aamiin.",16 April 2024
"Suka memaksa, seperti maksa untuk chat narahubung, maksa rating. Design nya terlalu rame pusing, kebanyakan fitur yang ga berguna, kalau to di web jadi ga jelas soal sama opsi jawaban dipisah kanan dan kiri ini ga sesuai sama layout utbk, bikin pusing",3 Mei 2024
Aplikasinya sudah bagus banget namun pas nonton video kalau yg tidak premium cuma 30 detik minimal 1 menitan lah jangan 30 detik doang jadinya tidak paham materi pelajarannya...,17 April 2024
"Aplikasi belajar terbaik, ini sangat bagus buat kita bisa belajar kapan saja dan dimana saja,dan penjelasan nya sangat mudah di mengerti dan dipahami, dan biaya nya pun bisa di jangkau setara dengan ilmu yang kita dapat. 👍👍",6 Maret 2024
"ga jelas masa udh langganan 3 tahun jaringan baik"" saja lancar tidak ada masalah sudah update tetapi tidak bisa menonton vidio belajar hanya ada tulisan"" Gagal memuat vidio"" yuk coba lagi sudah berhari hari bug masalah jaringan seperti ini padahal saya mau belajar untuk ujian asts 👎👎👎👎🙏😪😪😪",3 Maret 2024
"Cuma bisa kasih bintang 3 soalnya masih ada yang kurang, dari aplikasi nya masih suka lemot walaupun hp nya tidak ada masalah, kalau misal habis liat video trus lanjut ngerjain kuis itu tidak bisa langsung ke kuis nya, nunggu dulu. Kan ngeselin kalo lagi buru² Trus dari pelajaran, memang bagus bgt sih itu penjelasan nya tapi sayangnya disini masih belum apa pelajaran pjok atau olahraga ya,,, sisa nya udah bagus sih 👍",22 Maret 2024
"Menurut saya dulunya ini aplikasi yang bagus, sekarang saya menyesal karena perpanjang paket dan semenjak itu juga ruang guru saya ngebug trs latihaj soal soal nya kalau gak ilang salah satu atau 2 opsi jawaban hilang di update bukanya makin bagus malah makin jelek",20 Maret 2024
"Termasuk aplikasi terbaik yang pernah saya unduh; penjelasan menarik, adaptif, dan education consultant-nya pun interaktif dan sangat ramah. Saya sangat terbantu, terimakasih banyak😁👌",9 April 2024
Banyak bug dikarenakan sistem katanya soalnya pakai wifi yg 100 Mbps masih bermasalah video nya gak bisa ditonton dan biasa nya tiba tiba video nya seperti belum langganan cuman bisa 1 bab mohon cepat di benarkan,5 Maret 2024
